Type,ID,X,Y,Color
stairway,stairway_1,1629.5,2374.0,#FFAE00
stairway,stairway_2,2393.5,1937.0,#FFAE00
stairway,stairway_3,3029.5,1472.0,#FFAE00
stairway,stairway_4,3406.5,718.0,#FFAE00
invisible,invisible_1,1996.0,2326.5,#33CA60
invisible,invisible_2,1999.0,1751.5,#33CA60
intersection,intersection_1,1629.5,2323.0,#3500C6
intersection,intersection_2,2290.5,2034.0,#3500C6
intersection,intersection_3,3029.5,1319.0,#3500C6
intersection,intersection_4,3328.5,718.0,#3500C6
class,class_1,1591.5,2323.0,#6C1B1C
class,class_2,1591.5,2376.0,#6C1B1C
class,class_3,1628.5,1799.0,#6C1B1C
class,class_4,1629.5,1752.0,#6C1B1C
class,class_5,1629.5,2276.0,#6C1B1C
class,class_6,1685.5,1751.0,#6C1B1C
class,class_7,1687.5,2324.0,#6C1B1C
class,class_8,1950.5,1751.0,#6C1B1C
class,class_9,2028.5,2295.0,#6C1B1C
class,class_10,2080.5,2246.0,#6C1B1C
class,class_11,2623.5,1718.0,#6C1B1C
class,class_12,2739.5,760.0,#6C1B1C
class,class_13,2739.5,809.0,#6C1B1C
class,class_14,2740.5,667.0,#6C1B1C
class,class_15,2745.5,1039.0,#6C1B1C
class,class_16,2791.5,665.0,#6C1B1C
class,class_17,2868.5,1159.0,#6C1B1C
class,class_18,3254.5,1101.0,#6C1B1C
class,class_19,3321.5,1036.0,#6C1B1C
class,class_20,3326.5,667.0,#6C1B1C
class,class_21,3328.5,892.0,#6C1B1C
